age,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,exercise_frequency,mental_health_rating,exam_score,age,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,exercise_frequency,mental_health_rating,exam_score,gender_Female,gender_Male,gender_Other,part_time_job_No,part_time_job_Yes,diet_quality_Fair,diet_quality_Good,diet_quality_Poor,parental_education_level_Bachelor,parental_education_level_High School,parental_education_level_Master,internet_quality_Average,internet_quality_Good,internet_quality_Poor,extracurricular_participation_No,extracurricular_participation_Yes
0.8571428571428572,0.0,0.16666666666666666,0.20370370370370372,0.6590909090909092,0.7058823529411764,1.0,0.7777777777777777,0.4632352941176472,23,0.0,1.2,1.1,85.0,8.0,6,8,56.2,True,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True
0.4285714285714284,0.8313253012048192,0.3888888888888889,0.4259259259259259,0.9386363636363637,0.20588235294117635,1.0,0.7777777777777777,1.0,20,6.9,2.8,2.3,97.3,4.6,6,8,100.0,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
0.5714285714285716,0.16867469879518068,0.4305555555555556,0.24074074074074073,0.8818181818181816,0.7058823529411764,0.16666666666666666,0.0,0.1948529411764706,21,1.4,3.1,1.3,94.8,8.0,1,1,34.3,False,True,False,True,False,False,False,True,False,True,False,False,False,True,True,False
0.8571428571428572,0.12048192771084336,0.5416666666666666,0.18518518518518517,0.34090909090909105,0.8823529411764703,0.6666666666666666,0.0,0.10294117647058829,23,1.0,3.9,1.0,71.0,9.2,4,1,26.8,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True
0.2857142857142856,0.6024096385542168,0.6111111111111112,0.09259259259259259,0.7931818181818182,0.25000000000000006,0.5,0.0,0.5882352941176473,19,5.0,4.4,0.5,90.9,4.9,3,1,66.4,True,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False
1.0,0.8674698795180722,0.18055555555555558,0.0,0.6113636363636366,0.6176470588235294,0.16666666666666666,0.3333333333333333,1.0,24,7.2,1.3,0.0,82.9,7.4,1,4,100.0,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False
0.5714285714285716,0.6746987951807227,0.20833333333333334,0.25925925925925924,0.6772727272727272,0.4852941176470588,0.3333333333333333,0.3333333333333333,0.8750000000000001,21,5.6,1.5,1.4,85.8,6.5,2,4,89.8,True,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False
0.5714285714285716,0.5180722891566264,0.1388888888888889,0.37037037037037035,0.4931818181818184,0.20588235294117635,0.0,0.7777777777777777,0.6642156862745099,21,4.3,1.0,2.0,77.7,4.6,0,8,72.6,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False
0.8571428571428572,0.5301204819277108,0.3055555555555556,0.31481481481481477,1.0000000000000002,0.5735294117647058,0.5,0.0,0.7414215686274512,23,4.4,2.2,1.7,100.0,7.1,3,1,78.9,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False
0.1428571428571428,0.5783132530120481,0.4305555555555556,0.24074074074074073,0.8954545454545457,0.6323529411764706,0.8333333333333333,1.0,1.0,18,4.8,3.1,1.3,95.4,7.5,5,10,100.0,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True
0.2857142857142856,0.5542168674698794,0.513888888888889,0.14814814814814814,0.49090909090909074,0.3823529411764705,0.16666666666666666,0.2222222222222222,0.5502450980392157,19,4.6,3.7,0.8,77.6,5.8,1,3,63.3,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False
0.8571428571428572,0.4698795180722891,0.3333333333333333,0.4629629629629629,0.3568181818181819,0.6911764705882353,0.3333333333333333,0.0,0.6862745098039218,23,3.9,2.4,2.5,71.7,7.9,2,1,74.4,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False
0.2857142857142856,0.4457831325301205,0.2916666666666667,0.07407407407407407,0.5704545454545453,0.19117647058823523,0.16666666666666666,0.8888888888888888,0.7169117647058826,19,3.7,2.1,0.4,81.1,4.5,1,9,76.9,True,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False
0.2857142857142856,0.4096385542168674,0.37500000000000006,0.5,0.7568181818181816,0.2205882352941177,0.6666666666666666,1.0,0.7034313725490197,19,3.4,2.7,2.7,89.3,4.7,4,10,75.8,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False
1.0,0.28915662650602403,0.20833333333333334,0.12962962962962962,0.7136363636363638,0.5147058823529411,1.0,0.8888888888888888,0.7414215686274512,24,2.4,1.5,0.7,87.4,6.7,6,9,78.9,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False
0.5714285714285716,0.37349397590361444,0.6944444444444444,0.18518518518518517,0.9431818181818181,0.4852941176470588,1.0,0.6666666666666665,0.681372549019608,21,3.1,5.0,1.0,97.5,6.5,6,7,74.0,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False
0.4285714285714284,0.12048192771084336,0.08333333333333333,0.037037037037037035,0.8386363636363636,0.35294117647058815,0.5,0.7777777777777777,0.4509803921568629,20,1.0,0.6,0.2,92.9,5.6,3,8,55.2,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True
1.0,0.4096385542168674,0.37500000000000006,0.2222222222222222,0.8795454545454546,0.6323529411764706,0.0,0.0,0.6421568627450981,24,3.4,2.7,1.2,94.7,7.5,0,1,70.8,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True
